cantKvecinos,NroPersona,VerdaderosP,FalsosN,FalsosP
2,1,6,1,0
2,2,7,0,4
2,3,5,2,0
2,4,7,0,3
2,5,4,3,6
2,6,7,0,0
2,7,7,0,0
2,8,7,0,1
2,9,6,1,0
2,10,6,1,0
2,11,5,2,1
2,12,7,0,0
2,13,5,2,0
2,14,4,3,0
2,15,7,0,1
2,16,5,2,0
2,17,2,5,4
2,18,7,0,8
2,19,5,2,0
2,20,3,4,0
2,21,7,0,6
2,22,7,0,0
2,23,6,1,5
2,24,7,0,1
2,25,4,3,4
2,26,5,2,0
2,27,3,4,3
2,28,6,1,2
2,29,3,4,0
2,30,7,0,1
2,31,7,0,0
2,32,5,2,0
2,33,6,1,0
2,34,7,0,0
2,35,3,4,0
2,36,5,2,5
2,37,7,0,2
2,38,6,1,1
2,39,5,2,0
2,40,4,3,3
2,41,4,3,0
3,1,6,1,0
3,2,7,0,5
3,3,5,2,1
3,4,5,2,1
3,5,6,1,7
3,6,7,0,0
3,7,7,0,0
3,8,7,0,1
3,9,6,1,0
3,10,6,1,0
3,11,5,2,1
3,12,7,0,0
3,13,6,1,0
3,14,4,3,0
3,15,7,0,3
3,16,4,3,0
3,17,2,5,4
3,18,7,0,6
3,19,6,1,0
3,20,3,4,0
3,21,7,0,6
3,22,7,0,0
3,23,5,2,4
3,24,7,0,1
3,25,4,3,5
3,26,5,2,1
3,27,3,4,2
3,28,6,1,2
3,29,3,4,2
3,30,7,0,0
3,31,7,0,0
3,32,3,4,0
3,33,6,1,0
3,34,7,0,0
3,35,3,4,0
3,36,5,2,5
3,37,7,0,2
3,38,7,0,2
3,39,4,3,0
3,40,4,3,3
3,41,3,4,0
4,1,6,1,0
4,2,7,0,5
4,3,3,4,2
4,4,6,1,1
4,5,6,1,8
4,6,7,0,0
4,7,7,0,0
4,8,7,0,1
4,9,6,1,0
4,10,6,1,0
4,11,5,2,1
4,12,7,0,0
4,13,5,2,0
4,14,5,2,0
4,15,7,0,2
4,16,5,2,0
4,17,2,5,5
4,18,7,0,6
4,19,6,1,0
4,20,3,4,0
4,21,7,0,6
4,22,7,0,0
4,23,4,3,4
4,24,7,0,0
4,25,4,3,7
4,26,5,2,1
4,27,3,4,2
4,28,6,1,2
4,29,3,4,2
4,30,7,0,1
4,31,6,1,0
4,32,3,4,0
4,33,6,1,0
4,34,7,0,0
4,35,2,5,0
4,36,4,3,5
4,37,7,0,2
4,38,7,0,3
4,39,4,3,0
4,40,2,5,3
4,41,4,3,0
5,1,6,1,0
5,2,7,0,8
5,3,3,4,2
5,4,4,3,2
5,5,6,1,8
5,6,7,0,0
5,7,7,0,0
5,8,7,0,1
5,9,6,1,0
5,10,6,1,0
5,11,4,3,1
5,12,7,0,0
5,13,5,2,0
5,14,6,1,0
5,15,7,0,2
5,16,5,2,1
5,17,2,5,4
5,18,7,0,6
5,19,6,1,0
5,20,4,3,0
5,21,7,0,6
5,22,7,0,0
5,23,4,3,3
5,24,7,0,0
5,25,4,3,9
5,26,5,2,1
5,27,3,4,2
5,28,5,2,0
5,29,4,3,2
5,30,7,0,0
5,31,5,2,0
5,32,3,4,0
5,33,6,1,0
5,34,7,0,0
5,35,2,5,0
5,36,4,3,5
5,37,7,0,2
5,38,7,0,3
5,39,4,3,0
5,40,2,5,3
5,41,4,3,0
6,1,6,1,0
6,2,7,0,8
6,3,4,3,2
6,4,4,3,1
6,5,6,1,9
6,6,7,0,0
6,7,7,0,1
6,8,7,0,0
6,9,6,1,0
6,10,6,1,0
6,11,4,3,2
6,12,7,0,0
6,13,5,2,0
6,14,6,1,0
6,15,7,0,2
6,16,5,2,2
6,17,2,5,2
6,18,7,0,6
6,19,6,1,0
6,20,5,2,1
6,21,7,0,5
6,22,7,0,1
6,23,3,4,2
6,24,7,0,0
6,25,4,3,7
6,26,5,2,1
6,27,3,4,2
6,28,4,3,0
6,29,3,4,2
6,30,7,0,1
6,31,5,2,0
6,32,4,3,0
6,33,5,2,0
6,34,7,0,0
6,35,2,5,0
6,36,4,3,5
6,37,7,0,2
6,38,7,0,5
6,39,4,3,0
6,40,2,5,3
6,41,4,3,0
7,1,6,1,0
7,2,7,0,9
7,3,5,2,1
7,4,3,4,2
7,5,6,1,8
7,6,7,0,0
7,7,7,0,2
7,8,7,0,0
7,9,7,0,0
7,10,6,1,0
7,11,4,3,1
7,12,7,0,0
7,13,5,2,0
7,14,6,1,0
7,15,7,0,2
7,16,5,2,0
7,17,2,5,2
7,18,7,0,6
7,19,6,1,0
7,20,5,2,1
